Date;Net_TR
31.12.1998;1670.02
04.01.1999;1668.52
05.01.1999;1691.23
06.01.1999;1728.94
07.01.1999;1725.47
08.01.1999;1732.75
11.01.1999;1717.52
12.01.1999;1684.4
13.01.1999;1677.53
14.01.1999;1647.36
15.01.1999;1689.6
19.01.1999;1701.49
20.01.1999;1707.84
21.01.1999;1678.68
22.01.1999;1665.14
25.01.1999;1677.09
26.01.1999;1702.0
27.01.1999;1689.75
28.01.1999;1720.05
29.01.1999;1739.45
01.02.1999;1730.42
02.02.1999;1715.5
03.02.1999;1729.36
04.02.1999;1697.4
05.02.1999;1685.07
08.02.1999;1691.2
09.02.1999;1653.64
10.02.1999;1663.95
11.02.1999;1705.5
12.02.1999;1673.02
16.02.1999;1688.99
17.02.1999;1664.87
18.02.1999;1682.98
19.02.1999;1685.62
22.02.1999;1730.43
23.02.1999;1729.14
24.02.1999;1705.09
25.02.1999;1693.83
26.02.1999;1684.76
01.03.1999;1681.84
02.03.1999;1667.35
03.03.1999;1670.61
04.03.1999;1696.54
05.03.1999;1735.8
08.03.1999;1745.75
09.03.1999;1741.82
10.03.1999;1751.42
11.03.1999;1766.46
12.03.1999;1762.27
15.03.1999;1779.53
16.03.1999;1778.34
17.03.1999;1766.76
18.03.1999;1792.3
19.03.1999;1768.8
22.03.1999;1765.72
23.03.1999;1718.25
24.03.1999;1727.05
25.03.1999;1756.2
26.03.1999;1746.41
29.03.1999;1783.85
30.03.1999;1771.11
31.03.1999;1751.55
01.04.1999;1761.61
05.04.1999;1798.93
06.04.1999;1794.58
07.04.1999;1807.09
08.04.1999;1830.42
09.04.1999;1836.37
12.04.1999;1850.4
13.04.1999;1838.44
14.04.1999;1809.35
15.04.1999;1801.75
16.04.1999;1796.49
19.04.1999;1756.3
20.04.1999;1779.03
21.04.1999;1819.89
22.04.1999;1850.83
23.04.1999;1848.15
26.04.1999;1852.49
27.04.1999;1856.25
28.04.1999;1840.16
29.04.1999;1829.36
30.04.1999;1818.95
03.05.1999;1845.45
04.05.1999;1814.63
05.05.1999;1835.77
06.05.1999;1815.07
07.05.1999;1832.72
10.05.1999;1826.67
11.05.1999;1847.61
12.05.1999;1859.3
13.05.1999;1864.18
